path,split,label
train/042957.mp4,train,0
dev/011531.mp4,train,0
train/092455.mp4,train,0
test/125901.mp4,train,0
test/134621.mp4,train,0
train/015408.mp4,train,0
dev/047589.mp4,train,0
test/048289.mp4,train,0
train/017184.mp4,train,0
train/073951.mp4,train,0
train/032192.mp4,train,0
test/003852.mp4,train,0
train/086657.mp4,train,0
test/022752.mp4,train,0
dev/023978.mp4,train,0
train/054166.mp4,train,0
test/029522.mp4,train,0
train/114590.mp4,train,0
train/079698.mp4,train,0
train/108100.mp4,train,0
dev/109674.mp4,train,0
test/091640.mp4,train,0
dev/117043.mp4,train,0
train/089806.mp4,train,0
train/124277.mp4,train,0
train/085520.mp4,train,0
train/052839.mp4,train,0
dev/063112.mp4,train,0
dev/108889.mp4,train,0
test/134090.mp4,train,0
train/069739.mp4,train,0
train/072720.mp4,train,0
train/081469.mp4,train,0
train/074341.mp4,train,0
train/088287.mp4,train,0
train/049460.mp4,train,0
train/008393.mp4,train,0
train/120110.mp4,train,0
test/021956.mp4,train,0
test/105614.mp4,train,0
train/101245.mp4,train,0
train/103584.mp4,train,0
train/037596.mp4,train,0
dev/054911.mp4,train,0
train/031117.mp4,train,0
dev/012470.mp4,train,0
train/136598.mp4,train,0
train/089708.mp4,train,0
train/122902.mp4,train,0
train/093791.mp4,train,0
dev/058334.mp4,train,0
dev/012945.mp4,train,0
test/125509.mp4,train,0
test/048239.mp4,train,0
train/099252.mp4,train,0
test/125880.mp4,train,0
dev/012289.mp4,train,0
train/111969.mp4,train,0
train/034379.mp4,train,0
train/000633.mp4,train,0
train/104423.mp4,train,0
dev/096765.mp4,train,0
train/065770.mp4,train,0
test/022618.mp4,train,0
train/089565.mp4,train,0
train/092433.mp4,train,0
train/122649.mp4,train,0
train/103841.mp4,train,0
train/031384.mp4,train,0
train/094171.mp4,train,0
test/095914.mp4,train,0
train/042588.mp4,train,0
train/111486.mp4,train,0
train/015530.mp4,train,0
train/030889.mp4,train,0
test/029810.mp4,train,0
dev/115262.mp4,train,0
train/110863.mp4,train,0
test/134634.mp4,train,0
dev/058163.mp4,train,0
dev/133738.mp4,train,0
train/043672.mp4,train,0
train/079012.mp4,train,0
train/049430.mp4,train,0
train/013063.mp4,train,0
train/039765.mp4,train,0
train/031754.mp4,train,0
dev/123447.mp4,train,0
test/091426.mp4,train,0
train/013859.mp4,train,0
test/090525.mp4,train,0
train/042766.mp4,train,0
dev/012030.mp4,train,0
train/102099.mp4,train,0
train/087191.mp4,train,0
test/045230.mp4,train,0
test/003012.mp4,train,0
train/052398.mp4,train,0
test/002031.mp4,train,0
test/134257.mp4,train,0
dev/100324.mp4,train,0
dev/004569.mp4,train,0
train/107689.mp4,train,0
train/101488.mp4,train,0
dev/059060.mp4,train,0
test/046664.mp4,train,0
test/045856.mp4,train,0
train/112573.mp4,train,0
dev/123992.mp4,train,0
train/124532.mp4,train,0
train/136863.mp4,train,0
test/012595.mp4,train,0
train/118554.mp4,train,0
train/014113.mp4,train,0
dev/011681.mp4,train,0
test/029815.mp4,train,0
train/049277.mp4,train,0
test/075866.mp4,train,0
dev/004303.mp4,train,0
test/131556.mp4,train,0
test/064257.mp4,train,0
test/130122.mp4,train,0
test/130102.mp4,train,0
test/022897.mp4,train,0
dev/084515.mp4,train,0
train/065687.mp4,train,0
dev/024178.mp4,train,0
train/011245.mp4,train,0
train/098391.mp4,train,0
test/007416.mp4,train,0
train/107616.mp4,train,0
train/086317.mp4,train,0
test/091473.mp4,train,0
train/018438.mp4,train,0
train/080790.mp4,train,0
train/025928.mp4,train,0
train/051705.mp4,train,0
train/137703.mp4,train,0
test/131201.mp4,train,0
train/031315.mp4,train,0
train/124200.mp4,train,0
train/039225.mp4,train,0
test/075970.mp4,train,0
dev/035948.mp4,train,0
train/028827.mp4,train,0
dev/116696.mp4,train,0
train/016698.mp4,train,0
train/052443.mp4,train,0
train/110407.mp4,train,0
test/131759.mp4,train,0
train/042761.mp4,train,0
train/084029.mp4,train,0
dev/058984.mp4,train,0
train/104454.mp4,train,0
train/069887.mp4,train,0
train/030807.mp4,train,0
train/051994.mp4,train,0
dev/115370.mp4,train,0
dev/120831.mp4,train,0
dev/068699.mp4,train,0
train/010451.mp4,train,0
train/107186.mp4,train,0
dev/057553.mp4,train,0
dev/004403.mp4,train,0
train/037443.mp4,train,0
train/099457.mp4,train,0
dev/070735.mp4,train,0
test/077253.mp4,train,0
train/103945.mp4,train,0
test/003981.mp4,train,0
train/092071.mp4,train,0
test/126424.mp4,train,0
dev/097613.mp4,train,0
dev/121116.mp4,train,0
test/075834.mp4,train,0
train/043369.mp4,train,0
train/053063.mp4,train,0
train/118196.mp4,train,0
train/037831.mp4,train,0
train/088318.mp4,train,0
train/093888.mp4,train,0
dev/058957.mp4,train,0
dev/075734.mp4,train,0
dev/024236.mp4,train,0
train/032606.mp4,train,0
train/094195.mp4,train,0
dev/068232.mp4,train,0
test/135090.mp4,train,0
dev/004332.mp4,train,0
train/084263.mp4,train,0
test/003664.mp4,train,0
train/040794.mp4,train,0
train/028755.mp4,train,0
train/120601.mp4,train,0
dev/023290.mp4,train,0
train/033333.mp4,train,0
train/037455.mp4,train,0
train/010717.mp4,train,0
dev/006768.mp4,train,0
test/045203.mp4,train,0
train/025880.mp4,train,0
dev/023524.mp4,train,0
